timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
17700218642,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=558076824), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.2561562250303369, y=-0.582134399413713, z=-0.4783169729718252, w=-0.6055711376580898)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.0625, y=1.1875, z=-2.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9599609375, y=0.27294921875, z=-0.1396484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.700218642,"[0.2561562250303369, -0.582134399413713, -0.4783169729718252, -0.6055711376580898]","[2.0625, 1.1875, -2.5625]","[0.9599609375, 0.27294921875, -0.1396484375]"
17707700546,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=565561196), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.2564671206827539, y=-0.5814760254032834, z=-0.47808352125369147, w=-0.6062560470589706)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-0.1875, y=3.3125, z=-2.75)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9697265625, y=0.2578125, z=-0.099609375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.707700546,"[0.2564671206827539, -0.5814760254032834, -0.47808352125369147, -0.6062560470589706]","[-0.1875, 3.3125, -2.75]","[0.9697265625, 0.2578125, -0.099609375]"
17727182542,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=585080775), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.2567094083978899, y=-0.5810445953276062, z=-0.4780190410300223, w=-0.6066178816135587)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.125, y=2.9375, z=-2.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.94580078125, y=0.26025390625, z=-0.12451171875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.727182542,"[0.2567094083978899, -0.5810445953276062, -0.4780190410300223, -0.6066178816135587]","[0.125, 2.9375, -2.125]","[0.94580078125, 0.26025390625, -0.12451171875]"
17745159221,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=603039749), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.25651964534678556, y=-0.5809074433525351, z=-0.4786169542730175, w=-0.6063580005996466)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.8125, y=0.0625, z=-3.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.95068359375, y=0.27490234375, z=-0.1611328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.745159221,"[0.25651964534678556, -0.5809074433525351, -0.4786169542730175, -0.6063580005996466]","[1.8125, 0.0625, -3.1875]","[0.95068359375, 0.27490234375, -0.1611328125]"
17767641793,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=625448017), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.2562785663147068, y=-0.5806091929868553, z=-0.4788667852596307, w=-0.6065483191320686)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.0625, y=-1.0, z=-5.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.98193359375, y=0.251953125, z=-0.1123046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.767641793,"[0.2562785663147068, -0.5806091929868553, -0.4788667852596307, -0.6065483191320686]","[0.0625, -1.0, -5.625]","[0.98193359375, 0.251953125, -0.1123046875]"
17787288334,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=645167350), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.25451182682239565, y=-0.5816541270065781, z=-0.47899492012042233, w=-0.6061897995203918)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-7.4375, y=-5.9375, z=-4.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.93359375, y=0.26220703125, z=-0.193359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.787288334,"[0.25451182682239565, -0.5816541270065781, -0.47899492012042233, -0.6061897995203918]","[-7.4375, -5.9375, -4.125]","[0.93359375, 0.26220703125, -0.193359375]"
17805308212,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=663116527), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.25017159134565214, y=-0.5843236924965293, z=-0.48166728443520046, w=-0.603304752488844)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-5.25, y=-19.5625, z=-8.125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.91357421875, y=0.34521484375, z=-0.36962890625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.805308212,"[0.25017159134565214, -0.5843236924965293, -0.48166728443520046, -0.603304752488844]","[-5.25, -19.5625, -8.125]","[0.91357421875, 0.34521484375, -0.36962890625]"
17835822856,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=693633552), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.24438489945452682, y=-0.5857547153009726, z=-0.4855959690460078, w=-0.6011355830988099)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-2.625, y=-28.3125, z=-20.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0478515625, y=0.416015625, z=-0.25830078125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.835822856,"[0.24438489945452682, -0.5857547153009726, -0.4855959690460078, -0.6011355830988099]","[-2.625, -28.3125, -20.5625]","[1.0478515625, 0.416015625, -0.25830078125]"
17848037987,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=705915545), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.23839297214963173, y=-0.5853627741646488, z=-0.4889924456894136, w=-0.6011701934648931)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-6.3125, y=-22.5625, z=-28.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.09912109375, y=0.435546875, z=-0.15283203125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.848037987,"[0.23839297214963173, -0.5853627741646488, -0.4889924456894136, -0.6011701934648931]","[-6.3125, -22.5625, -28.5625]","[1.09912109375, 0.435546875, -0.15283203125]"
17864345780,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731182887, nanosec=722243989), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.23252920759257611, y=-0.5839473643689681, z=-0.4908136187557735, w=-0.6033553139790571)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-13.6875, y=-14.4375, z=-26.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.087890625, y=0.47216796875, z=-0.07421875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,17.86434578,"[0.23252920759257611, -0.5839473643689681, -0.4908136187557735, -0.6033553139790571]","[-13.6875, -14.4375, -26.625]","[1.087890625, 0.47216796875, -0.07421875]"
