timestamp,_header,_orientation,_orientation_covariance,_angular_velocity,_angular_velocity_covariance,_linear_acceleration,_linear_acceleration_covariance,_check_fields,time,orientation,angular_velocity,linear_acceleration
5504590389,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=465951061), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6313196677894434, y=0.427573651055308, z=-0.643588376406448, w=0.06640972624527838)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-6.8125, y=1.875, z=-2.6875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.87939453125, y=0.4765625, z=-0.18017578125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.504590389,"[0.6313196677894434, 0.427573651055308, -0.643588376406448, 0.06640972624527838]","[-6.8125, 1.875, -2.6875]","[0.87939453125, 0.4765625, -0.18017578125]"
5519576130,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=480853335), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.633082729970895, y=0.4270195506051274, z=-0.6423604560560836, w=0.06506615793954629)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-10.5625, y=7.3125, z=-5.875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.87353515625, y=0.4658203125, z=-0.181640625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.51957613,"[0.633082729970895, 0.4270195506051274, -0.6423604560560836, 0.06506615793954629]","[-10.5625, 7.3125, -5.875]","[0.87353515625, 0.4658203125, -0.181640625]"
5534648895,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=496009175), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6347344846267207, y=0.42708310308040814, z=-0.6408993257602237, w=0.0629302099865515)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-11.625, y=7.25, z=-12.625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.9130859375, y=0.48291015625, z=-0.2138671875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.534648895,"[0.6347344846267207, 0.42708310308040814, -0.6408993257602237, 0.0629302099865515]","[-11.625, 7.25, -12.625]","[0.9130859375, 0.48291015625, -0.2138671875]"
5557446510,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=518936903), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6361403051383479, y=0.42909867061241463, z=-0.6385207956296542, w=0.05908499475858)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=-11.25, y=7.375, z=-26.0)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.90576171875, y=0.521484375, z=-0.25634765625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.55744651,"[0.6361403051383479, 0.42909867061241463, -0.6385207956296542, 0.05908499475858]","[-11.25, 7.375, -26.0]","[0.90576171875, 0.521484375, -0.25634765625]"
5585670638,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=546967948), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6358560122533614, y=0.4361515707009523, z=-0.6345742905930312, w=0.05267265680309569)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=2.8125, y=1.875, z=-48.5625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.81982421875, y=0.6435546875, z=-0.291015625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.585670638,"[0.6358560122533614, 0.4361515707009523, -0.6345742905930312, 0.05267265680309569]","[2.8125, 1.875, -48.5625]","[0.81982421875, 0.6435546875, -0.291015625]"
5594634783,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=555994676), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6342250529047185, y=0.4473328277103919, z=-0.6289149210980868, w=0.04602114232414183)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=23.9375, y=-3.3125, z=-66.0625)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=0.84423828125, y=0.72216796875, z=-0.2236328125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.594634783,"[0.6342250529047185, 0.4473328277103919, -0.6289149210980868, 0.04602114232414183]","[23.9375, -3.3125, -66.0625]","[0.84423828125, 0.72216796875, -0.2236328125]"
5617033427,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=578416063), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6333657956673574, y=0.459475543007022, z=-0.6214028298823712, w=0.03985620743671431)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=29.5, y=1.9375, z=-78.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0244140625, y=0.77734375, z=-0.193359375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.617033427,"[0.6333657956673574, 0.459475543007022, -0.6214028298823712, 0.03985620743671431]","[29.5, 1.9375, -78.1875]","[1.0244140625, 0.77734375, -0.193359375]"
5639690780,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=601059543), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6341593025703967, y=0.47204889760148677, z=-0.6113930446436634, w=0.03479026010251454)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=34.3125, y=15.375, z=-83.8125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.1171875, y=0.87548828125, z=-0.13623046875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.63969078,"[0.6341593025703967, 0.47204889760148677, -0.6113930446436634, 0.03479026010251454]","[34.3125, 15.375, -83.8125]","[1.1171875, 0.87548828125, -0.13623046875]"
5660713321,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=621968469), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6368551193509063, y=0.482737889490734, z=-0.6004163129245607, w=0.029663751965165852)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=24.0, y=22.5625, z=-84.3125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.0791015625, y=0.82763671875, z=-0.06396484375)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.660713321,"[0.6368551193509063, 0.482737889490734, -0.6004163129245607, 0.029663751965165852]","[24.0, 22.5625, -84.3125]","[1.0791015625, 0.82763671875, -0.06396484375]"
5684767192,"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1731185424, nanosec=646035676), frame_id='RU_myo')","geometry_msgs.msg.Quaternion(x=0.6421126966655709, y=0.49244916698648533, z=-0.5871180636146508, w=0.02185136363177513)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=6.375, y=30.375, z=-97.1875)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],"geometry_msgs.msg.Vector3(x=1.01416015625, y=0.83935546875, z=0.00048828125)",[0. 0. 0. 0. 0. 0. 0. 0. 0.],False,5.684767192,"[0.6421126966655709, 0.49244916698648533, -0.5871180636146508, 0.02185136363177513]","[6.375, 30.375, -97.1875]","[1.01416015625, 0.83935546875, 0.00048828125]"
